name,city,bedroom,bathroom,parkingarea,surfacearea,buildingarea,price
Rumah mewah cantik siap huni di perumahan taman sari persada jatibening,8,4,3,2,120,160,1950000000
Rumah 2 lantai termurah  di Florencia  cikarang,3,3,2,1,250,100,925000000
rumah hook siap huni di grand melati Jatiwarna pondok gede Bekasi,0,3,3,2,100,150,1750000000
rumah termurah siap huni di bulevar hijau harapan indah Bekasi,2,3,2,0,98,70,775000000
Rumah rapih hook Sentul city,2,3,4,2,91,130,1380000000
Rumah 4 unit akses dekat toll sawangan dan mal DTC,2,3,2,1,60,22,850000000
Super murah nih dijatiasih cuma 400jt an dijamin bebas banjir,2,3,2,0,96,128,1350000000
Hunian mewah 2lantai ready stok dijatiasih harga terjangkau lokasi super strategis,0,3,3,0,190,180,2100000000
Cluster mewah dan istimewa full bata merah dekat ke toll jatibening,0,3,2,0,165,110,1750000000
Siap Huni Smart Home Mewah,0,3,3,0,117,220,2300000000
BEST DEAL!!!RUMAH di CIGADUNG RAYA dekat dengan Kawasan Cafe DAGO,0,2,2,0,148,98,1300000000
Rumah Dijual Murah Segera Daerah Cinere,0,3,2,0,111,107,2000000000
"Sentul city,bogor",0,3,2,1,180,150,2500000000
Rumah Nyaman Termurah Hitung Hanya Harga Tanah Segalaxy,0,3,2,0,90,65,850000000
Rumah Murah Free Biaya Dekat Tol Jagorawi,2,2,1,0,62,27,180000000
Rumah Modern Baru Di Setra duta di Pasteur Bandung,8,2,2,0,40,46,481000000
Rumah Nyaman di Kawasan Strategis Kota Bandung,8,3,2,2,120,80,1580000000
"Rumah Bergaya Scandinavian Siap Huni Dekat Tol Buahbatu, Free Canopy dan Kitchen Set",0,4,4,1,146,200,2800000000
"Rumah Cantik, Luas, Asri, Full Furnished di Sayap Jl.Purwakarta, Antapani",0,3,2,1,102,85,750000000
Rumah murah akses mudah..,0,4,2,1,160,120,1550000000
Rumah murah akses mudah.,0,2,1,0,45,30,327000000
Rumah tengah kota murah,3,4,6,0,247,247,1400000000
cepat rumah di komplek my home,2,3,3,0,77,139,870000000
Rumah mewah cantik di singgasana pradana,0,4,3,2,126,180,2350000000
Dijual Rumah di Komplek Turangga Bandung cocok untuk investasi,0,3,2,0,140,168,1350000000
Rumah Minimalis Lokasi Startegis Bebas Banjir Harga Terjangkau di Kabupaten Bandung,8,2,1,0,45,30,160000000
"Rumah FULL FURNISHED Lokasi Tengah Kota Cuyyy! Nego Sabi Banget! - Kembar Mas, Regol",8,3,2,1,115,100,1900000000
Rumah asri nyaman dengan view gunung jawa baratlokasi strategis dekat tempat wisata di bandung,0,4,2,0,120,70,400000000
DI JUAL RUMAH SIAP HUNI.,0,4,2,0,108,80,400000000
Rumah Nyaman Lingkungan Asri di Kopo Katapang,2,3,2,2,91,130,995000000
Rumah minimalis swimming pool sentul city,2,3,2,0,92,82,700000000
Rumah siap huni view gunung pancar,8,3,2,1,120,80,650000000
rumah dua lantai lokasi bintara jaya akses terdekat pondok kelapa caman kalimalang jakarta timur,3,2,1,0,150,50,700000000
Cluster konsep rumah minimalis di bintara jaya harga termurah lantai 2 lokasi startegis,0,3,3,0,200,200,3000000000
Rumah murah dengan konsep pembangunan indent lokasi strategis angsuran mulai 4jt,8,3,3,0,124,178,2000000000
"Rumah bagus halaman luas, Cihanjuang, Cimahi",0,3,2,0,132,96,750000000
"Rumah Murah dan Nyaman, Taman Cibaduyut Indah, TCI, Bandung Selatan",8,2,1,0,60,45,465000000
Rumah Cantik Asri Hadap Timur Lebar muka 11 meter Harga dibawah 3 Milyar di Tatar Wangsakerta KBP Bandung,2,4,3,0,153,200,1600000000
Rumah Cantik Asri Luas 200 mtr Hadap Timur di Singgasana Pradana Bandung,8,3,3,1,145,240,1650000000
"Turun Harga, Rumah Baru Dalam Cluster di Tengah Kota Bogor ,  Jl. Dadali ,  Hanya 1,05 M",2,4,3,2,162,180,2850000000
"Selangkah Puri Gading, Bebas Banjir, Akses 2 Mobil di Cluster Jatiasih",3,3,3,1,79,80,788000000
Rumah Baru Minimalis Taman Holis Indah 1,2,2,2,1,48,53,675000000
Di Jual Rumah Cantik Buana Mekar Buah Batu Kamar Tidur 4+1,0,2,1,2,50,36,165000000
Rumah tepi Danau Z Living Grand Wisata Bekasi,2,2,1,0,29,60,168000000
Rumah Baru Setraduta Grande Axia,2,2,1,1,60,36,350000000
Rumah Siap Huni 5 Kamar di Kopo Permai Bandung,3,2,1,1,60,45,395000000
Rumah Baru SIAP HUNI ala scandinavian harga terjangkau hanya 5 menit ke gerbang tol juanda,2,4,4,1,216,220,2400000000
Rumah Baru Modern Style Dalam Komplek Rapi Dan Strategis Di Cinere,2,4,4,2,120,200,1850000000
Rumah Vbi 2 Hoek Tanah Luas,0,4,3,0,245,200,3500000000
Unit terakhir Rumah Minimalis di komplek Batu Indah dekat Batununggal,8,3,3,0,112,120,1500000000
Rumah Deltamas Cikarang Cluster Calgary Luas 98 Rp. 775 Jt 3 KT 2 KM Siap Huni,8,2,1,0,30,28,135000000
Rumah Siap Huni Hanya 9 Menit ke Tol Jati Warna di Cibubur,7,2,1,0,90,48,550000000
"Rumah mewah, nyaman, asri di kabupaten bekasi",7,2,1,0,84,48,550000000
Rumah Bagus Siap Huni Di Sukaluyu Dekat Gedung Sate,7,3,2,0,115,82,900000000
MENAWAN BGT! RUMAH TJAKEP CALON MILIK KAMU NIH DI KOTA BARU PARAHYANGAN BANDUNG,9,3,2,0,85,78,750000000
Dijaul cepat rumah minimalis siap huni di sakura regency Jatiasih Bekasi selatan,7,2,1,0,80,48,550000000
Rumah  Bagus Lokasi Stategis Berada Di Cluster Florencia -  Lippo Cikarang,3,3,2,1,90,150,1100000000
Rumah Modern di THI 2,0,2,1,1,100,45,650000000
Ruman Cantik Minimalis 100% Baru,0,3,3,2,124,139,1800000000
Rumah Lux Minimalis Funished View Bagus,0,3,2,2,93,140,1020000000
Rumah siap huni dekat akses Tol Pasteur Bandung,0,3,3,0,190,153,3060000000
Rumah Siap Huni Minimalis di Batununggal,0,3,1,1,184,150,2400000000
Rumah Cantik Modern di Batununggal Mulia,0,2,1,1,97,60,835000000
"Rumah Exclusive Dekat Tol Pasteur Bandung utara , Kota Bandung",0,2,1,1,126,80,1450000000
Rumah murah cantik lokasi strategis bekasi,3,2,1,1,67,36,395000000
Rumah Cantik 2 lntai lokasi strategis di Depok,0,3,2,0,98,90,1500000000
Di  rumah design milenial konsep modern tropis di selatan jakarta bebas banjir,0,2,1,0,120,80,500000000
Rumah Baru Siap Huni 5 Kamar Tidur Turangga,0,3,2,0,120,90,525000000
Rumah Bagus Siap Huni Taman Cibaduyut Indah ,0,4,4,0,154,185,2900000000
Rumah Murah asri dan adem di Pasirlayung Padasuka Bandung,0,3,2,1,185,100,2100000000
Rumah Murah di Jati Indah Turangga Buah batu Harga Nego,2,4,2,0,94,120,750000000
RUMAH STANDAR MURAH di Bandung,8,2,1,1,60,40,300000000
Rumah Bagus Cocok Untuk Kost Strategis di Gunung Batu Kota Bogor,0,3,3,1,220,180,1690000000
Rumah Asri Siap Huni Dekat Jalan Raya Ciomas ,3,3,2,1,66,60,899000000
Dijual Rumah Dago Pojok ,2,4,4,0,216,200,2850000000
Rumah lama Terawat Di Sukaluyu,8,2,1,0,78,36,660000000
Rumah murah sekali,3,2,1,0,84,36,390000000
Cepat Murah Rumah 2 Lantai Kokoh Terawat Apik Rapi Siap Huni Dalam Perumahan Besar di Harapan Baru Bekasi Barat,3,2,1,0,107,36,440000000
Rumah baru turangga,8,3,4,2,100,130,1700000000
Rumah besar kembar,0,2,1,0,50,30,173000000
RUMAH BAGUS BOJONGSOANG,8,3,2,1,205,150,1700000000
Akses motor wilayah masih asri hunian murah di citayam,8,2,1,1,105,75,1050000000
Rumah Suasana Nyaman dan Aman Harga Menarik di Cinere,6,4,2,1,97,196,845000000
"Rumah di dalam komplek berada di lingkungan nyaman dan asri lokasi strategis di Kelapa dua, Depok",2,2,1,1,60,38,355000000
Hunian Strategis Murah Bebas Banjir,8,2,1,1,68,40,575000000
Hunian Murah Strategis Dan Bebas Banjir,3,3,3,1,90,160,950000000
RUMAH MURAH DENGAN POOL 5 KAMAR DALAM TOWNHOUSE DEKAT TOL JATIWARNA DI KODAU JATIMEKAR,2,2,2,1,144,90,1350000000
RUMAH DI CLUSTER MEWAH DI BEKASI SIAP HUNI,8,2,1,1,51,36,315000000
Rumah cantik siap huni termurah di sawangan,8,2,1,0,38,32,180000000
"Sakura Regency 2 LT 348 LB 200, DIPASARKAN CEPAT &amp; NEGO SAMPAI DEAL !",0,3,2,0,77,110,1500000000
Dijual Rumah Harvest City,0,3,3,1,100,120,1750000000
Rumah Bagus Resort Dago Pakar,8,3,2,1,101,150,2300000000
Rumah Modern Minimalist Siap huni seperti baru Cluster Cinere Best Price,3,3,2,0,112,200,495000000
Jual Rumah di Pusat Kota (Pagarsih),3,3,2,2,101,54,398000000
Rumah cluster muslim termurah 10 menit ke Tol Sawangan Depok,8,3,2,2,90,100,1000000000
RUMAH BAGUS CLUSTER HOOK NYAMAN LT.209 TDK BANJIR STRATEGIS DEKAT TOL JATIWARNA DI PONDOK MELATI BEKASI,8,2,1,0,72,45,660000000
Rumah Cluster Bagus Strategis dkt Tol Bintara Bekasi Barat,2,4,3,2,210,108,1700000000
"Rumah Second Siap Huni Dalam Perumahan, Strategis di Kemang - Depok",0,4,3,1,130,195,3100000000
Rumah 2 Lantai Cluster Maple Summarecon Bekasi,2,2,1,1,60,32,345000000
Rumah Cantik Dua Lantai Dekat Pemda Bogor,2,2,2,1,83,100,1350000000
"Rumah baru 2 lantai, cantik dan strategis dekat tol Cikunir, Jawabarat",0,4,3,1,152,150,2490000000
Rumah 2 Lantai Tanah Luas Row Jalan Lebar,2,2,2,1,90,60,850000000
Rumah Dijual di Ambrosia Lippo Cikarang,0,3,2,1,210,80,1200000000
Rumah Pinggir Jalan dlalui angkutan umum cocok untuk investasi dan huni,8,2,1,0,60,36,200000000
Rumah Subsidi Siap Huni nyaman di Setu Cibening Bekasi,0,3,2,1,62,62,987000000
Rumah Secondary Hanya 350jt Di Bojong Sari Jatiasih Bekasi ,0,2,2,1,60,47,600000000
Rumah Modern Minimalis,0,4,3,2,135,189,3570000000
Hunian Asri 4Kt Lingkungan Elit Dekat Tol Bekasi Barat Di Pekayon Bekasi,0,3,3,2,76,225,2620000000
Rumah Modern Design Mewah lokasi strategis di Galaxy Bekasi ,3,4,2,1,70,82,570000000
rumah hoek dekat pintu masuk cluster,0,2,1,1,80,51,650000000
Rumah  2 Lantai Baru Renovasi di Raffles Hills Cibubur,3,2,1,0,60,27,189000000
Rumah mungil Mini Cluster  Muraaah Di Pasir Putih Depok,0,3,3,2,157,180,3200000000
"Type 48 Greenland Kalijaga, Sistem One Gateway. Dekat Dengan Pusat Kota Cirebon",0,3,3,2,156,200,2000000000
Greenland Sendang Rumah Harga Terjangkau Investasi Terbaik Di Cirebon,0,2,1,0,112,42,740000000
"Rumah Mewah Kedawung Regency 2 lantai Harga Terjangkau Diskon Terbatas, Cirebon",0,3,2,1,90,70,626000000
Rumah Mewah Modern Minimalis Investasi Terbaik Anda Sekarang di Cirebon,0,3,2,0,176,77,1590000000
Siap Huni Harga Terjangkau Rumah Mewah Greenland Sendang,2,2,1,1,75,45,525000000
Rumah Minimalis 5 Menit Aeon Mall Sentul City Bogor,0,3,1,1,80,48,418000000
Rumah Murah Minimalis Permata cisaranteun Arcamanik Bandung,3,4,4,2,112,128,1970000000
Turun Harga Rumah Minimalis Cluster Florence Kalijati Indah Antapani Bandung,3,4,4,2,121,100,2000000000
Turun Harga Rumah Murah Arcamanik Bandung,2,2,2,1,55,55,1080000000
Rumah Baru Lux Minimalis  Elsa di Summarecon Bandung,0,3,3,0,60,120,795000000
Jarang Ada! Rumah Lama Terawat di Sayap Lodaya - Cocok Untuk Dijadikan Kost2 an,0,3,3,0,71,125,975000000
Cepat Rumah di Komplek Pesona Pasteur Harga Dibawah Pasar & Masih Nego,0,3,1,1,112,103,1750000000
Cepat Rumah Minimalis di Kota Baru Parahyangan - Tatar Purba,0,3,2,1,60,100,810000000
TOWN HOUSE - THE CASCADE,3,4,4,1,110,150,2000000000
"Rumah Cluster Murah Dekat Stasiun Citayem Laris Manis,Sejuk ,Asri,Tanpa DP 0 % Stock Terbatas",8,2,1,0,45,30,155000000
Rumah Siap Huni di Sariwangi Asri,8,2,1,0,60,36,220000000
Rumah murah di Ciumbuleuit,8,2,1,1,60,36,225000000
Rumah minimalis syariah (non KPR),3,3,2,1,120,80,800000000
rumah minimalis syariah (CASH ONLY),3,3,2,1,105,88,690000000
LANGKA& Murah ! Rumah 2 Lantai di Taman Anggrek dekat festifal citylink Sayap Peta strategis tengah kota!,2,3,2,0,60,60,695000000
LUAS 182 M2 RUMAH SIAP HUNI DI CICAHEUM DKT MAINROAD JL. RAYA A.H.NASUTION,8,2,2,2,97,45,800000000
Rumah murah bisa untuk kost-an di damar setiabudi,2,2,1,1,75,75,695000000
Murah !! rumah bagus di setraduta cemara,2,3,2,1,84,80,600000000
"Banting harga! Rumah 2 lantai Siap Huni di area depan di  Harapan Indah 1, Bekasi",2,4,2,1,176,200,1250000000
Rumah harga promo di depok dekat gerbang tol,8,3,2,0,138,140,2049999999
"Rumah MURAH Arcamanik, Siap Huni! Dkt Griya, Lokasi Juara",0,4,2,2,169,200,1800000000
RUMAH MURAH 2 LANTAI SIAP HUNI DI CIBINONG DEKAT PAKANSARI,3,3,2,0,120,88,1500000000
Rumah hook type premium di blue bell Summarecon y,2,3,1,1,200,80,520000000
GDC Depok,0,2,2,0,60,90,465000000
GDC Tajur Halang,8,2,1,1,104,45,495000000
GDC Tajur Halang,3,2,1,1,60,30,398000000
Metland non Cluster,8,2,1,1,50,36,195000000
Rumah modern lokasi strategis komplek cinere dekat pintu tol,0,3,1,0,147,130,1700000000
Rumah hunian,0,3,1,1,77,106,800000000
Rumah lama terawat dalam komplek cinere dekat tol krukut,2,2,2,1,90,60,900000000
Rumah cantik dan murah dalam komplek cinere dekat tol.krukut,2,3,3,1,120,150,1370000000
Coba Hitung Dehh.. Ini Worth It Banget !! Puri Cipageran Indah 1 dekat pasar lapangan Cimahi Utara,8,4,3,2,112,120,1860000000
Rumah Berlian Lokasi Strategis Belakang Harapan Indah,3,2,1,0,36,60,400000000
"HOT Banget !! Cengli Sih Harganya, Boleh Nego Jauh Bumi Citeureup Permai Cimahi Utara Ciawitali",0,4,2,0,100,180,800000000
Rumah minimalis Deket kuliner renijaya paling murah,0,2,1,0,75,55,350000000
Rumah Dlm Cluster Asri Nyaman & Aman Udara Sejuk Di Sentul Bogor,0,3,1,0,100,60,380000000
cepat rumah termurah 2 lantai di cluster samata harapan indah Bekasi,0,3,1,0,120,70,335000000
Rumah mewah terlaris disawangan tahap 5,0,2,2,0,110,60,380000000
Rumah Bagus Minimalis di Setra Indah Bandung,0,3,2,0,120,94,1870000000
Premium Rumah Sejuk dan Asri view pegunungan kota Bandung,0,2,2,0,42,84,390000000
Rumah cantik siap huni dalam cluster kota wisata,2,2,2,2,109,80,1600000000
"Rumah readi siap huni,mewah dan berkwalitas",2,3,2,1,132,65,875000000
Rumah Bagus Minimalis di Istana regency Bandung,2,4,4,0,144,157,2200000000
RUMAH ASRI SIAP HUNI DI GEGER KALONG BANDUNG - UTARA,2,2,1,0,112,125,1170000000
Dijual Rumah Mewah Jl. Cigadung Bandung,2,4,4,0,126,112,1750000000
Turun Harga!  Cepat! Rumah Lux Siap Huni Setra duta,3,2,1,1,66,40,390000000
Rumah Brand New Modern Classic Style Dalam Komplek Asri Di Cinere,0,3,2,1,156,100,1800000000
Rumah murah bagus tanah luas 588m2 kadugede kuningan jawa barat,8,3,1,0,60,90,990000000
Turun Harga!! Rumah bojong kulur tempat strategis  dekat Labschool.kaizen,8,2,1,0,60,45,285000000
GDC Tajur Halang,0,2,1,0,64,40,450000000
GDC Depok,0,3,3,2,85,75,907000000
TOWNHOUSE 2 LANTAI ASRI SEJUK DAN STRATEGIS,0,3,3,2,124,140,1800000000
Rumah Bagus Siap Huni di Griya Hijau Depok,3,4,3,1,250,185,1350000000
Rumah cluster Mesa Grande  DP 0% akses Grand Depok City 10 menit stasiun Depok,8,3,3,2,82,80,999000000
"Rumah Jatibening Dua, strategis dan sangat terawat, 6 kamar tidur",8,3,2,2,65,60,649000000
Rumah Lux Plus Furnish di Sekelimus Buah batu Soekarno Hatta,3,3,2,0,84,47,737000000
Rumah Siap Huni Tanah Luas Murah (Harga BU) di Kemang Pratama 2,0,3,3,1,216,120,2800000000
Dijual Murah Rumah di pinggir Jalan Cinere Raya Bisa untuk Usaha,0,3,3,2,162,200,2200000000
rumah siap huni plus kosan di cibeunying permai cigadung bandung,8,3,3,2,87,77,1040000000
SUPER LANGKA!! Rumah Cantik Minimalis 2 Unit di Mekar wangi,0,3,2,1,130,83,1800000000
Rumah Model Minimalis 1 Lantai Bebas Banjir Free Biaya-biaya ,6,2,2,1,70,55,525000000
Rumah 2 Lantai Paling Murah dekat pintu Tol Jati Asih,8,3,2,2,66,73,1040000000
Rumah Islami Dago Dekat Kampus ITB Bandung,3,2,1,1,72,54,550000000
cepat rumah termurah minimalis di Kemang Pratama bekasi,8,3,2,2,58,70,825000000
Cepat Rumah Murah komplek Taruna Ujungberung,0,3,2,2,149,250,2400000000
Rumah Bagus Dalam Komplek Di Cinere Depok,2,2,1,1,84,45,626000000
RUMAH  BARU SIAP HUNI DI CITAYAM MURAH MEWAH!,0,2,2,1,125,110,1200000000
Rumah Taman Kopo Indah 3 Full Renov,2,2,1,1,60,36,340000000
HUNIAN MEWAH DEKAT PUSAT KOTA 2 LANTAI 2 KAMAR TIDUR ,0,4,3,0,150,130,1590000000
RUMAH MEWAH 2 LANTAI 2 KAMAR TIDUR DI KATAPANG,0,2,1,1,87,65,745000000
Rumah Baru Casa Grande Setraduta 18,8,3,3,2,84,115,1350000000
Rumah Baru Casa Victoria Setraduta,8,3,2,1,80,110,945000000
"Rumah Desain Kekinian Berlokasi Strategis dengan 4 Kamar Tidur dan 2 Kamar Mandi di Bogor Kota, Cicilan Cuma 4 Juta an",8,3,1,1,70,52,600000000
Rumah lux citra green dago best price,8,3,1,1,70,52,690000000
Rumah minimalis ciwastra dengan smart lock system,8,3,1,1,60,52,690000000
Rumah Over Murah Cileungsi,6,3,3,1,126,141,1800000000
Rumah Minimalis di Babakan Jeruk,10,3,2,1,227,98,3100000000
Cepat Rumah Murah Arcamanik,0,3,2,0,65,50,739000000
RUMAH MURAH BANGET,0,3,1,0,72,36,598000000
"Rumah Baru Nuansa Villa, View Cantik Udara Sejuk Segar Berkabut",0,3,2,1,60,50,435000000
Rumah Baru Nuansa Villa di Cilame dekat Kota Baru Parahyangan,3,3,2,1,229,98,1450000000
"Rumah Baru! Mewah dan Strategis di Kotamadya Bandung, One Gate System",3,2,1,1,80,45,400000000
Rumah Grand Ujung Harapan Tipe 45,6,3,2,1,57,60,444000000
Rumah Nyaman dekat Podomoro Park Buah Batu,0,3,2,1,65,50,385000000
Rumah Cluster Pemium Miami Kota Wisata Bogor,0,4,3,0,152,200,2600000000
"Rumah Cluster Nashville Kota Wisata Cibubur Lebar 8 meter, Kota Wisata Cibubur, Bogor, Jawa Barat",0,3,2,1,84,60,475000000
Magenta Residence Rumah Modern Tropical di Summarecon Bekasi,0,3,1,1,78,48,418000000
Rumah Cantik Murah Bandung Kulon,3,2,1,1,60,40,400000000
Rumah Baru Minimalis TKI 1 Super Langka,0,2,2,2,60,60,659000000
Rumah Cantik Lokasi Depan harga dibawah 2 Milyar di kompleks Mekar Wangi Bandung,0,2,2,2,63,50,429000000
"Rumah Baru TKI, tidak jauh dari Mainroad, under 1 M",0,2,2,2,52,68,583000000
Rumah Sangat Bagus Di Pusatkota,0,2,2,2,77,60,796000000
Rumah dekat tempat ibadah dan fasilitas pendidikan dan kesehatan,0,3,2,1,108,79,1650000000
"Rumah TERMURAH di citayam akses mobil, kepoin nih!!",13,3,1,1,50,60,525000000
Rumah lokasi strategis dekat ke mana mana,0,3,2,2,120,63,999000000
Rumah Semi Furnished di Rancamaya Golf Kota Bogor,0,2,2,0,120,64,774000000
Rumah Mewah di Taman Kopo Indah 3 Dekat Ke Pintu Tol Seroja,8,2,1,1,72,45,795000000
Rumah Minimalis 3 kamar lokasi Strategis @Limus pratama regency,2,2,1,1,65,80,550000000
Rumah murah 2 lantai Lokasi Strategis Deket tol Cibubur/tol Jatikarya citra grand,2,2,1,0,126,60,1100000000
Rumah Dalam Cluster DP 5 Jt saja,3,2,1,1,60,32,345000000
RUMAH CERAH BANGUNAN BARU HARGA MURAH DINEGO AJA! di HARAPAN INDAH (12799) FD,3,2,1,1,60,30,240000000
Rumah Murah di dalam Cluster di Cikunir.,0,3,2,1,198,135,3100000000
Rumah Murah di Komplek SKU Mekarsari Tambun Bekasi,2,2,1,2,60,39,700000000
Rumah Lux Seperti Baru Semi Furnished Di Cluster Cinere,0,3,3,0,150,150,1900000000
RUMAH LUX MINIMALIS 2 LANTAI SWIMMING POOL LOKASI UJUNG BERUNG,0,4,4,0,190,250,2550000000
Rumah Bagus Baru Renov Dalam Cluster Kota Wisata,0,2,1,0,105,70,1150000000
Rumah Kantor Cikarang Utara 1 Lantai Strategis Dekat Stasiun,2,3,3,1,91,93,1660000000
Rumah bumi panyileukan kota bdg,2,2,1,0,123,90,650000000
Rumah BARU LUAS Siap Huni Lingkungan ASRI Tenang Di CIPAYUNG Depok KPR DP Ringan Free Biaya2,2,3,3,0,144,155,2500000000
"Rumah cantik desain American Classic, dalam cluster, lokasi strategis dekat stasiun KRL Parung Panjang",2,4,3,0,180,196,3290000000
Rumah diCitayam dekat stasiun Citayam,8,2,2,1,60,70,1050000000
Rumah Bagus Murah Nyaman Pasti Betah Cimindi Jl Budi Cimahi Utara,8,2,2,1,60,70,1000000000
Rumah Murah Minimalis 2 Lantai Dekat Pusdiklatpassus Batujajar Bandung ,0,3,2,1,112,100,1100000000
Rumah KPR Depok DP bayar belakangan,0,3,2,1,96,140,1020000000
cepat rumah termurah di Kemang Pratama 5 bekasi,3,2,1,0,55,36,325000000
cepat rumah termurah 2 lantai di duta bumi harapan indah Bekasi,8,2,1,0,50,45,225000000
Gunung Putri - Perumahan Bumi Mutiara,4,4,3,2,128,206,1900000000
RUMAH SUTERA SAWANGAN BY ALAM SUTERA,3,2,1,1,96,70,545000000
Forest Hills /  Serpong Kencana,2,3,2,1,75,80,825000000
rumah minimalis modern terbaru terlaris di Bandung,8,2,2,2,137,62,690000000
RUMAH MINIMALIS DI  BANDUNG BEBAS BANJIR,8,3,2,2,84,75,966000000
rumah mewah murah cantik di Bandung,0,2,1,0,126,80,1700000000
rumah Minimalis harga murah bebas banjir,8,3,2,1,72,60,790000000
rumah Murah Minimalis berkualitas di Bandung,8,3,1,1,72,52,650000000
Rumah Minimalis di KBP,8,2,1,0,70,36,265000000
Rumah Modern Istimewa di KBP,8,4,2,0,125,125,1000000000
"Rumah murah 2lantai di sayap gatsu , burangrang , turangga",2,3,1,0,95,38,682000000
Rumah Cluster Lemonade Garden Grand Wisata,8,3,2,0,161,80,850000000
"Rumah Modern Tropis Banyak Bukaan, 3 Kamar strategis dekat Waterpark ",8,3,2,1,90,63,1120000000
RUMAH UNIT LANGKA POSISI HUK Cluster AseraOne Harapan Indah,0,4,4,0,67,134,1290000000
Dijual Cepat Unit Langka di Cluster Asera Harapan Indah Bekasi,0,3,2,1,91,83,1200000000
